"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"C7-G7-PLATE 3-OLD","0.172945880124272","0.0317093810271571","0.0317093810271571","0.0317093810271571","0.629714473583912",NA,NA
"C7-G7-PLATE 4-NEW","0.221361192484932","0.894470099446969","0.691572265611175","0.894470099446969","0.0522700636419003","0.0317093810271571",NA
"C7-G7-PLATE 4-OLD","0.835576011739566","0.246047765817128","0.172945880124272","0.316460412077017","0.231555447404398","0.12305950061121","0.284574347210756"
"21","C8.G8.PLATE.1.NEW","C8.G8.PLATE.1.OLD","C8.G8.PLATE.2.NEW","C8.G8.PLATE.2.OLD","C8.G8.PLATE.3.NEW","C8.G8.PLATE.3.OLD","C8.G8.PLATE.4.NEW"
"C8-G8-PLATE 1-OLD","0.723059390042706",NA,NA,NA,NA,NA,NA
"C8-G8-PLATE 2-NEW","0.874384871944595","0.76539583746879",NA,NA,NA,NA,NA
"C8-G8-PLATE 2-OLD","0.76539583746879","0.87411324172439","0.784015349518194",NA,NA,NA,NA
"C8-G8-PLATE 3-NEW","0.784015349518194","0.788324689776893","0.833270739217879","0.87411324172439",NA,NA,NA
"C8-G8-PLATE 3-OLD","0.462096165080742","0.347008343125137","0.42119326210314","0.347008343125137","0.372231556777967",NA,NA
"C8-G8-PLATE 4-NEW","0.582513473125185","0.784015349518194","0.582513473125185","0.76539583746879","0.723059390042706","0.347008343125137",NA
"C8-G8-PLATE 4-OLD","0.784015349518194","0.582513473125185","0.76539583746879","0.582513473125185","0.723059390042706","0.582513473125185","0.42119326210314"
"22","D2.H2.PLATE.1.NEW","D2.H2.PLATE.1.OLD","D2.H2.PLATE.2.NEW","D2.H2.PLATE.2.OLD","D2.H2.PLATE.3.NEW","D2.H2.PLATE.3.OLD","D2.H2.PLATE.4.NEW"
"D2-H2-PLATE 1-OLD","0.867378020727755",NA,NA,NA,NA,NA,NA
"D2-H2-PLATE 2-NEW","0.0894490206856944","0.080537117715509",NA,NA,NA,NA,NA
"D2-H2-PLATE 2-OLD","0.0690297537824563","0.0620092037151854","0.681546081255008",NA,NA,NA,NA
"D2-H2-PLATE 3-NEW","0.0292652966053444","0.0292652966053444","0.17797267726681","0.277780983814614",NA,NA,NA
"D2-H2-PLATE 3-OLD","0.0406146165394633","0.0406146165394633","0.452263183326363","0.621656709851692","0.484096218164435",NA,NA
"D2-H2-PLATE 4-NEW","0.515869614288856","0.452263183326363","0.202711675387563","0.141044007931648","0.0406146165394633","0.080537117715509",NA
"D2-H2-PLATE 4-OLD","0.201496063553152","0.17797267726681","0.547401675568085","0.397142819809594","0.080537117715509","0.201496063553152","0.452263183326363"
"23","D3.H3.PLATE.1.NEW","D3.H3.PLATE.1.OLD","D3.H3.PLATE.2.NEW","D3.H3.PLATE.2.OLD","D3.H3.PLATE.3.NEW","D3.H3.PLATE.3.OLD","D3.H3.PLATE.4.NEW"
"D3-H3-PLATE 1-OLD","0.264363267808796",NA,NA,NA,NA,NA,NA
"D3-H3-PLATE 2-NEW","0.003414898352166","0.0163310125102552",NA,NA,NA,NA,NA
"D3-H3-PLATE 2-OLD","0.00215855891231414","0.0100442661238933","0.710355191507101",NA,NA,NA,NA
"D3-H3-PLATE 3-NEW","0.000456797684474295","0.000796749984982622","0.0174884219675104","0.0286002461497943",NA,NA,NA
"D3-H3-PLATE 3-OLD","0.000456797684474295","0.000796749984982622","0.0163310125102552","0.0243705715879297","0.888005880290639",NA,NA
"D3-H3-PLATE 4-NEW","0.101935995374856","0.588593276387357","0.0302430412782677","0.0191843795295419","0.00105657789725705","0.00105657789725705",NA
"D3-H3-PLATE 4-OLD","0.0560924539547627","0.365045272959548","0.0544979722099043","0.0298380125178316","0.00124830885212265","0.00121292657531657","0.715847226988537"
"24","D4.H4.PLATE.1.NEW","D4.H4.PLATE.1.OLD","D4.H4.PLATE.2.NEW","D4.H4.PLATE.2.OLD","D4.H4.PLATE.3.NEW","D4.H4.PLATE.3.OLD","D4.H4.PLATE.4.NEW"
"D4-H4-PLATE 1-OLD","0.555136346160441",NA,NA,NA,NA,NA,NA
"D4-H4-PLATE 2-NEW","0.0106438432248946","0.0259537878549765",NA,NA,NA,NA,NA
"D4-H4-PLATE 2-OLD","0.0281496838030559","0.0718567411152834","0.50795217848197",NA,NA,NA,NA
"D4-H4-PLATE 3-NEW","0.00393858769589385","0.00393858769589385","0.160986346107753","0.0517693516042057",NA,NA,NA
"D4-H4-PLATE 3-OLD","0.00393858769589385","0.00393858769589385","0.188844813203371","0.0599317764930396","0.942720513488869",NA,NA
"D4-H4-PLATE 4-NEW","0.581085214655264","0.942720513488869","0.0253550551527495","0.0677709489157914","0.00393858769589385","0.00393858769589385",NA
