"","diff","lwr","upr","p.adj"
"A5-E5-PLATE 2-NEW-A5-E5-PLATE 1-NEW",-1390.5673828125,-5712.05864871066,2930.92388308566,0.886222792772786
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 1-NEW",-1138.880859375,-5460.37212527316,3182.61040652316,0.953087699496729
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 1-NEW",-5204.12841796875,-9525.61968386691,-882.63715207059,0.0184042288511221
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 1-NEW",-4087.67529296875,-8409.16655886691,233.81597292941,0.0656562712994693
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 1-NEW",-1352.5888671875,-5674.08013308566,2968.90239871066,0.898491602832503
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 1-NEW",-1078.6982421875,-5400.18950808566,3242.79302371066,0.963998320335034
"A5-E5-PLATE 2-NEW-A5-E5-PLATE 1-OLD",-1553.107421875,-5874.59868777316,2768.38384402316,0.825925556975494
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 1-OLD",-1301.4208984375,-5622.91216433566,3020.07036746066,0.913825746940076
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 1-OLD",-5366.66845703125,-9688.15972292941,-1045.17719113309,0.0154094523372065
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 1-OLD",-4250.21533203125,-8571.70659792941,71.2759338669102,0.0543166513889973
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 1-OLD",-1515.12890625,-5836.62017214816,2806.36235964816,0.841057145867581
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 1-OLD",-1241.23828125,-5562.72954714816,3080.25298464816,0.930051294540987
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 2-NEW",251.6865234375,-4069.80474246066,4573.17778933566,0.99999597057662
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 2-NEW",-3813.56103515625,-8135.05230105441,507.93023074191,0.0905329087944737
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 2-NEW",-2697.10791015625,-7018.59917605441,1624.38335574191,0.322805743498134
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 2-NEW",37.978515625,-4283.51275027316,4359.46978152316,0.999999999992372
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 2-NEW",311.869140625,-4009.62212527316,4633.36040652316,0.999982601869033
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 2-OLD",-4065.24755859375,-8386.73882449191,256.24370730441,0.0674012918849534
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 2-OLD",-2948.79443359375,-7270.28569949191,1372.69683230441,0.245631813081666
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 2-OLD",-213.7080078125,-4535.19927371066,4107.78325808566,0.999998691900723
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 2-OLD",60.1826171875,-4261.30864871066,4381.67388308566,0.999999999807288
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 3-NEW",1116.453125,-3205.03814089816,5437.94439089816,0.957376529528958
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 3-NEW",3851.53955078125,-469.95171511691,8173.03081667941,0.0865865893491072
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 3-NEW",4125.43017578125,-196.06109011691,8446.92144167941,0.0628222675640099
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 3-OLD",2735.08642578125,-1586.40484011691,7056.57769167941,0.310044777909623
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 3-OLD",3008.97705078125,-1312.51421511691,7330.46831667941,0.229685385597163
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 4-NEW",273.890625,-4047.60064089816,4595.38189089816,0.999992812797627
"A6-E6-PLATE 1-OLD-A6-E6-PLATE 1-NEW",-899.326171875,-3485.34938428946,1686.69704053946,0.845818456211187
"A6-E6-PLATE 2-NEW-A6-E6-PLATE 1-NEW",-1370.25,-3956.27321241446,1215.77321241446,0.484112638457093
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 1-NEW",-1413.40625,-3999.42946241446,1172.61696241446,0.452507413529452
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 1-NEW",-6077.5791015625,-8663.60231397696,-3491.55588914804,0.000220179952267752
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 1-NEW",-5212.294921875,-7798.31813428945,-2626.27170946054,0.000661547468550849
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 1-NEW",-1366.853515625,-3952.87672803946,1219.16969678946,0.48664764279686
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 1-NEW",-1834.7236328125,-4420.74684522696,751.299579601956,0.215421718832501
"A6-E6-PLATE 2-NEW-A6-E6-PLATE 1-OLD",-470.923828125,-3056.94704053946,2115.09938428946,0.993439837461281
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 1-OLD",-514.080078125,-3100.10329053946,2071.94313428946,0.989199584588702
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 1-OLD",-5178.2529296875,-7764.27614210196,-2592.22971727304,0.000692754116482286
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 1-OLD",-4312.96875,-6898.99196241445,-1726.94553758554,0.00242536589224251
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 1-OLD",-467.52734375,-3053.55055616446,2118.49586866446,0.993709067610132
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 1-OLD",-935.3974609375,-3521.42067335196,1650.62575147696,0.821833872988846
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 2-NEW",-43.15625,-2629.17946241446,2542.86696241446,0.999999999317336
