"","diff","lwr","upr","p.adj"
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 1-NEW",-54,-1230.18427452594,1122.18427452594,0.999999216816541
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 1-NEW",432.5,-743.68427452594,1608.68427452594,0.811079940620336
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 1-NEW",-193,-1369.18427452594,983.18427452594,0.996446318089735
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 1-NEW",1179,2.81572547405995,2355.18427452594,0.0494036002400761
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 1-NEW",805,-371.18427452594,1981.18427452594,0.243213205506577
"A7-E7-PLATE 2-NEW-A7-E7-PLATE 1-OLD",529.5,-646.68427452594,1705.68427452594,0.646433834644821
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 1-OLD",-126,-1302.18427452594,1050.18427452594,0.999757079960702
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 1-OLD",360.5,-815.68427452594,1536.68427452594,0.9070714876468
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 1-OLD",-265,-1441.18427452594,911.18427452594,0.978685864595034
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 1-OLD",1107,-69.1842745259401,2283.18427452594,0.0672398817759318
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 1-OLD",733,-443.18427452594,1909.18427452594,0.324155157560331
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 2-NEW",-655.5,-1831.68427452594,520.68427452594,0.432773265583472
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 2-NEW",-169,-1345.18427452594,1007.18427452594,0.998418143087146
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 2-NEW",-794.5,-1970.68427452594,381.68427452594,0.253840065240214
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 2-NEW",577.5,-598.68427452594,1753.68427452594,0.561601966033907
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 2-NEW",203.5,-972.68427452594,1379.68427452594,0.995133366676085
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 2-OLD",486.5,-689.68427452594,1662.68427452594,0.722155445575086
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 2-OLD",-139,-1315.18427452594,1037.18427452594,0.999540579773201
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 2-OLD",1233,56.8157254740599,2409.18427452594,0.0392902517881228
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 2-OLD",859,-317.18427452594,2035.18427452594,0.194490526921903
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 3-NEW",-625.5,-1801.68427452594,550.68427452594,0.480386625593161
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 3-NEW",746.5,-429.68427452594,1922.68427452594,0.307514657664852
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 3-NEW",372.5,-803.68427452594,1548.68427452594,0.893401662388397
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 3-OLD",1372,195.81572547406,2548.18427452594,0.0220447591533883
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 3-OLD",998,-178.18427452594,2174.18427452594,0.107540543725971
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 4-NEW",-374,-1550.18427452594,802.18427452594,0.891621681136864
"A8-E8-PLATE 1-OLD-A8-E8-PLATE 1-NEW",-214.5,-1082.2283131016,653.228313101599,0.965699192164446
"A8-E8-PLATE 2-NEW-A8-E8-PLATE 1-NEW",424.5,-443.2283131016,1292.2283131016,0.565264495469383
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 1-NEW",-324.5,-1192.2283131016,543.228313101599,0.799627069590222
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 1-NEW",36.4999999999995,-831.2283131016,904.228313101599,0.999999572520902
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 1-NEW",-486.000000000001,-1353.7283131016,381.728313101599,0.427771072350862
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 1-NEW",1071,203.2716868984,1938.7283131016,0.0159694882213771
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 1-NEW",548,-319.7283131016,1415.7283131016,0.312006616594134
"A8-E8-PLATE 2-NEW-A8-E8-PLATE 1-OLD",639,-228.7283131016,1506.7283131016,0.188746278770254
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 1-OLD",-110,-977.7283131016,757.7283131016,0.999280043224489
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 1-OLD",251,-616.7283131016,1118.7283131016,0.927802299498209
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 1-OLD",-271.5,-1139.2283131016,596.228313101599,0.898634052387985
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 1-OLD",1285.5,417.7716868984,2153.2283131016,0.00524881223723572
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 1-OLD",762.5,-105.2283131016,1630.2283131016,0.0922631354809618
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 2-NEW",-749,-1616.7283131016,118.7283131016,0.0998367306309706
